;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n
O local onde Abraham Lincoln morreu tem um website?;217908990;222642283;246905169;249345500;270118876;233911643;381871283;383837986;257573408;262046866;661910894;702163662;248472552;248265418;1038898754;1079503319;254435940;281523019;1528375549;1576636780;347254308;341328104;3458709180;3498401425;371802136;400907609;7162540401;6629641708;405162449;431486674;25729238933;15324422299;454149513;455008536;0;36004325527;457487959;453856728;0;79706555324;541901092;546262441;0;0
Quem é o rei da Holanda?;166665198;173111402;183992772;188131311;208133325;192440348;353000498;313872443;201733020;191676672;696892324;587103566;206396851;221288458;1148121013;1037364202;220031202;222632655;1728153738;1429108959;256847741;263709251;3861669472;2875100196;276919631;314733042;7752600137;4829944950;305431090;316054295;31159595632;10908601123;376293849;348076559;0;19166422765;376628957;350061074;0;33123615513;415278413;462851495;0;0
Em que cidade Nikos Kazantzakis morreu?;97032491;90469455;115376806;116683644;93376617;92830753;348679827;205302107;105831651;90445330;667415050;395555639;99994950;91709749;1070714547;837640011;94483287;102385433;1888321019;1216119908;112218169;117964600;4325422611;2645921359;129590826;129132318;9068301524;4616355753;160668402;166050988;31045410816;12558010530;163508305;178762250;115096843676;23372397036;171958210;144420887;121784178917;25624332940;157518971;134925915;0;28917729747
Quem foi o pai da Rainha Elizabeth II?;269799999;257084698;271176379;275264833;254306719;277282137;388005255;352026562;296678049;269935546;780834008;499647393;211202127;261905814;1323819233;640045570;244919227;268001738;1868427283;835695117;278833227;256744252;4087928360;1976135646;286083139;275862843;8979760013;3385044798;330449831;301291387;34510667204;8400792724;356090167;342646446;0;18878891705;377074774;402098945;0;43034828268;523564913;578739107;0;0
Liste todas as aves que correm perigo de extinção.;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quantos habitantes tem a maior cidade do Canadá?;418156035;365793467;384529571;377458520;437791137;396955589;613686298;512895691;360814639;466236435;935906457;722616614;446389063;424863663;1321746653;1243599953;440980457;387527407;1904050255;1699657866;442512221;533673542;4608676031;4093442501;410715880;513373968;8533379476;7955932547;581028738;642059247;33215578522;31961508307;579205614;603246385;0;0;725952489;751187560;0;0;1062607376;1035596624;0;0
De quais conflitos militares Lawrence da Arábia participou?;235862180;241921129;255795734;260285165;233561584;234674492;435957031;275529368;242103361;239510792;758173672;450513679;232104200;257955931;1328053749;647317701;225410181;244401133;1943786185;924871620;225192550;237027647;4488558945;1165617599;269419048;263302448;10005927038;1530902909;289997204;269416491;37857902466;5369017560;315998315;358034412;0;29557170788;413717922;441273900;0;63883092257;470039573;390616362;0;0
Qual o livro com maior número de páginas?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Em que país nasce o Nilo?;250427827;259683788;270373451;276856748;274137305;274133501;415272523;407898619;271573852;285763301;716798710;685065488;254798196;272243330;1148263140;1063860731;297355072;296061331;1843311349;1290733415;308512516;286770014;4382914495;2265349915;274940379;316556909;9465015347;3453913450;336634555;308315692;36658730955;7702267053;365640843;334949189;0;13033153958;378483530;345143051;0;19861751231;377999032;382688793;0;53630319804
Quem é o piloto de Fórmula 1 com mais corridas?;187703258;206529107;237726316;208619016;203932729;214447153;331580251;269196304;233559222;200000611;638351223;448997177;236812266;239563871;1005610978;798233499;238047974;224723229;1548067705;1200029312;233307248;239961692;3836958342;2375646459;249406217;233786301;7432751608;4287183708;248170874;277457149;30824694405;8670734279;318633230;300316570;0;19853082837;338789998;279813324;0;38497453406;326343372;314064911;0;0
Que companhias produzem aerodeslizadores?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Elvis Presley teve filhos?;220846651;237329297;228703733;239191025;242142783;213959426;386163029;374157920;238910343;228169586;709934051;684442106;273676292;268238298;1208419260;1081802501;260119432;282078212;1470342308;1673279894;341290342;365184629;3868954333;3861002773;390233830;434972563;8236865259;8060450419;543936991;534454967;33478998310;32433347053;477122643;634088835;0;0;842739844;832419142;0;0;866842794;814100831;0;0
Em que cidade o presidente de Montenegro nasceu?;294712100;298161107;336818387;298011792;332890921;303568347;436918316;394417769;304130281;311504107;844063428;608282616;316366421;300368364;1282286068;926198197;348822199;327722348;1834302207;1218865457;402708997;410877657;4360832407;1318690702;442516339;493532054;8629115524;2128997983;622036912;617788024;31873014390;7561423110;734727718;703463393;0;34476423534;825160959;857794375;0;0;855086808;850730909;0;0
Em que país Bill Gates nasceu?;138675278;127771964;160488707;153489106;140200981;144850201;300931117;309097482;161558464;161854686;594007775;560776329;176598446;182519302;1031034480;1008761048;202219063;194595449;1612984742;1509168517;282873604;265074564;4213770919;4073610674;276555998;263803771;9030717623;6337722777;281784806;275537319;31734046874;14068554262;274744258;282956355;0;28824623127;316795701;301108240;0;46065094926;341828524;344010386;0;0
Em que país se fala japonês?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Mostre me o livro que Muhammad Ali escreveu.;271721943;273293331;297150804;290033090;281536425;269080800;435138756;435814980;304487277;285659344;756920487;754326126;321167111;328205087;1150720112;1208085523;316815645;349564188;1546554137;1667712349;364239687;374072882;4454045987;3877760660;371110795;371538619;8807362652;5800153324;412082131;392916537;37980649478;12266420402;438388403;401923266;0;25374456321;437448584;419367157;0;41876075675;508931229;469114365;0;0
Michelle Obama é a esposa de Barack Obama?;237223747;211655365;230990366;233759975;213987166;234115157;457513547;370055817;253862466;253455963;716403413;760521527;275416577;268899434;1150685630;1152768791;224805411;265831418;1683476913;1717133084;289151078;269038531;3943806132;4208060620;310731437;370432176;8918020612;9191299261;401696915;541626097;33894406410;30331649377;492682409;567860288;0;42229040637;522055390;563635014;0;0;545114254;618300775;0;0
Qual é o código de área de Berlin?;290784973;270087907;253920812;272428642;264783935;254065207;472285885;347962064;279819904;294432847;762165843;540195613;289000775;275560706;1180532028;1043531622;281730694;317835985;1706056953;1439551433;346223605;356134121;4357931851;3850137944;395320807;421912118;8211130998;7253955342;479489353;487335837;32277108047;29516064651;443654449;606076736;0;0;675640832;687740028;0;0;781167351;740653964;0;0
Liste todos os atores que atuaram em Last Action Hero.;232546953;245772673;277693840;254299140;246629495;247873301;384955017;258508839;246927821;255382987;806766486;258952359;259916829;253445682;1252126438;253056369;258586040;253319990;1770659857;261008178;292083135;280941180;4314550245;1311421538;309834591;298313741;8807197579;4799232320;367480190;365883973;37893380020;18355181960;494919061;496782623;0;94110281371;706138371;658970312;0;0;1213050214;1049545676;0;0
Quais são os apelidos de San Francisco?;222979781;221327192;244457562;228998833;224587293;225837621;362484452;285581302;233013077;234713119;653342106;371460833;237027926;224294099;1068957663;573804909;234539995;244146524;1634443869;915296296;258067569;239582620;3765408481;1280880551;264335625;258593626;7302672350;2570545581;288412513;295924499;30525371270;7214134967;280370023;290894288;0;20828263414;328179278;299675940;0;42718435162;351926487;362865584;0;0
Qual foi o primeiro álbum do Queen?;391263315;309480541;342945653;374157535;364166398;374375796;565257245;426922119;357541660;385893020;875055896;631339325;380493010;403677196;1314643449;1179471801;413193825;408370371;1861890210;1595005423;394872878;439001989;4315618828;3605369021;460866195;508689152;8801878974;6302126328;616346061;586600034;48897921742;14296622729;638339316;570658948;0;35889650714;680900788;605797396;0;0;688302622;715335848;0;0
Por quais países o rio Yenisei passa?;253670571;256330676;260726830;274246648;261826961;260926541;400848953;399799681;273803318;294101025;712508434;730389225;295240882;282646407;1154047562;1211679518;302580021;310384463;1703852970;1577135117;319005631;339229297;4113431745;2846566080;305742849;289449516;9728287674;3986766211;347013434;333745319;35805387017;8781706277;353337935;357731987;0;16242326300;378042041;359265213;0;34435118490;397979871;515980546;0;0
Quais séries de televisão foram criadas por Walt Disney?;326981240;278438145;286164161;280806365;305976708;282654162;471282279;354164205;307928107;282463249;782188525;432383298;275116528;300199690;1251608967;783255821;336636349;338595237;1829105045;1257434055;419422767;416752955;4583031055;2865118330;429945374;453897821;9685350387;6465927524;559849472;593922387;32924372962;15797350352;641098330;616851993;0;35548924147;603533644;626495487;0;61921082244;642439875;655449678;0;0
Qual a ponte mais comprida?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
De que país é a Sitecore;244020892;238190795;266883209;262662236;257702712;245289897;413091711;373530138;234595352;247880211;745772091;472127756;231291525;251889190;1136646806;767290374;266957750;276307660;1774004003;1150314470;268192393;273847624;4157147450;1830470042;279684907;314827772;8010354263;3239251974;311555622;308902174;34788994703;12974786182;351621195;319768119;0;34468192073;337620912;372502655;0;104280794848;368521081;358744635;0;0
Com quem Lance Bass casou-se?;108227761;102992652;125944744;125910603;121054159;120104791;278347416;314684349;142451278;141307692;579293574;600129364;153473183;164677011;988082717;1099491048;175800280;174066271;1586115159;1461727613;177430727;178641125;4392891228;2943967752;184420385;182699411;8396271797;4848048115;208741697;196806785;32415679039;9306434689;220710268;232720384;0;14883488242;226719881;228323931;0;31047878183;259600600;324397852;0;0
Qual a capital do Canadá?;252854329;254904297;251405857;259595073;239287410;263327683;415583136;397664196;269663256;265325136;712239266;727240936;284623164;258155249;1120827356;1156356971;278986070;261191379;1666185919;1625565316;298959773;291147492;3838738124;3638471039;294349992;303149081;7889893094;7441727006;367371151;379001150;33739914748;30749789417;484711644;488688570;0;0;603832147;605821986;0;0;915391632;927719464;0;0
Em quem Vincent van Gogh inspirou-se?;93968738;89249093;102637310;115805560;107900519;114844021;267779135;324145607;129168834;130609221;555632663;599213950;140180797;142698706;1073552784;1093309405;155724002;171477585;1527391275;1326989824;165432142;163119264;1524917360;1398300049;162369539;170595950;1406016091;1329949729;168667411;171073351;1477481407;1425926069;167332779;169503806;1476081518;1353388255;159908262;159256538;1464685857;1006981224;157682774;176315445;1506837947;1319330837
Em que cidade John F. Kennedy morreu?;94564927;88945665;110695958;112693144;83966722;85211051;353395659;192009224;98153831;104573905;664026577;377607363;98087373;102184191;1239648676;797345273;114253867;107776216;1819783067;1228386809;116340844;116296030;4235935057;2757089502;125621821;139915599;8187710166;4535677760;154485686;145306156;35756861817;12268445499;155237519;139345309;77175069720;23524774955;153098035;140842209;67802647472;24173098363;164859550;144206125;68187405236;28586815793
O presidente Jackson dos EUA envolveu-se em uma guerra?;264200851;300390619;291017787;311673041;297624775;284157971;474308835;394203305;349824383;313675955;759531477;517275916;332004032;321764255;1183210167;723513528;317831439;322320781;1958154978;1195678309;322800880;338601654;4339010233;2843793087;328603075;349483401;9406314829;2252333194;451788107;435956206;40376875181;9124058122;562016742;551254935;0;31278326131;726604314;748860835;0;60557962584;1065155116;1067396452;0;0
Quem escreveu o tema do Game of Thrones?;274358943;287575825;314989803;295969796;291834517;271157258;466304571;434948549;277016810;309301523;798592602;701466648;322998966;302178369;1199060447;1171434427;332935346;352194398;1740447545;1445267616;370442471;411347839;4119583624;3854788067;376966573;388969920;8554181863;7224854301;398275310;464956235;36802761087;17214030817;431391152;437982821;0;30856835635;457644891;466164181;0;72995277579;525344054;548212551;0;0
Quem projetou a Ponte do Brooklin?;97584664;94080025;126876593;100216913;109739010;107373334;308420474;235930855;122562072;113824191;609835774;483275324;126830232;120684128;1049811907;903361306;117992468;129353239;1542120790;1152830396;128559949;140933668;4151667400;2234310337;149403240;157713639;8082448813;3939451999;162912808;171760870;29117003112;8484043498;190335926;199428557;0;13118159282;251082493;242738368;0;30988333823;314201082;310291390;0;0
Quando Boris Becker encerrou sua carreira?;198641040;225280507;225107067;230686530;256305644;234032097;444820684;424478767;251661017;280252958;696126617;719176335;231120273;230279919;1123939066;1125084561;244565892;281712217;1643770635;1651101914;274796022;287429453;3876097597;2393246113;269851065;257839069;9419107708;4141028683;344281334;342391673;32605291690;8497071793;373412187;391210969;0;15660393859;359850503;438876982;0;34337448549;446125135;501765720;0;0
Que tipos de uvas crescem no Oregon?;253315120;264425125;265054175;272268542;255858128;254233628;423810686;345398991;270496695;275367550;751013577;444980154;260895598;267249372;1264303323;644282794;272263031;306456307;1942985627;784005433;308732542;292558944;4324105314;1117409263;302441151;311098888;8376573184;2698713725;368129442;359590865;34437295016;11287669974;353183937;391948906;0;33074431463;372963614;393157807;0;0;460382307;518791319;0;0
Qual a altura de Michael Jordan?;203324241;228815574;219694111;223953387;208919079;220565398;363525794;357498196;231295662;233829256;663768633;647094453;251377034;241996634;1064947558;1088365413;255476603;288390648;1623671725;1644732508;264398494;264715592;3641817132;2695192560;284039098;295431568;8430649103;4440538233;287320328;296731818;33758356109;9618668915;302348295;316039741;0;21397747035;351915257;347625895;0;35729047774;387620993;383947728;0;0
A que partido o prefeito de Paris pertence?;277612020;284040313;275092590;277891089;251821799;278345907;465331258;481963222;316893575;315580963;771046849;678113624;347374798;292593590;1156190344;1184599117;304551258;339968020;1707525192;1343394108;387740979;372426654;4339385844;4088038838;436507875;441128159;8248598385;8239597223;576572348;525661374;33922670571;30981836016;676803803;685432254;0;0;508306433;782188156;0;0;672560122;951416652;0;0
Quem escreveu o livro Os Pilares da Terra?;165243949;158580179;185009372;178667752;174541547;182840930;339606250;351409452;194116875;187745503;681792476;650375855;191977095;210874355;1244563421;1074362659;202880260;205414636;1569747734;1452385461;208830003;212402158;4264457642;2806929450;219601706;217759759;9249652675;4175900440;242947900;247614161;31506312690;7693276195;273604577;294376419;0;14123582924;293278540;335562803;0;23163928086;359617202;390310742;0;56858231048
Quem foi o 16o presidente dos Estados Unidos?;358796951;334360140;373707382;359961707;346663400;337050366;545119454;488226265;379745193;425579694;843341376;765602781;372209446;396998162;1302980496;1203170126;408406896;396494872;1855092091;1571171813;491319027;513396679;3540156298;3712889277;545619903;453755634;8406600382;7176695422;785969260;603780916;34236986419;31808520200;707891388;873945411;0;0;1075509827;769936779;0;0;1252666282;997443434;0;0
Qual a altura do Monte Everest?;215585002;213781151;221575532;210166364;211982227;221221577;388513442;384814762;239886227;223763456;664748075;668858965;234463590;245632944;1099587140;1103498027;267067907;269561117;1658946260;1702507546;272348439;293383722;3683385233;3164911575;283224914;275542391;8484851261;4727898310;314931370;293242755;29642309897;12865646693;337904240;330507849;0;22660471750;353559839;374643347;0;32443605371;425966948;415394305;0;0
Quem foi o orientador do doutorado de Albert Einstein?;206764865;220715569;222444766;217037179;229027557;211919297;340058982;349431544;237340512;256961066;666372315;627909236;222636496;246963181;1062021792;1095405262;303449906;248513631;1576112132;1583034582;303826669;311345579;3536382262;3827801346;376273987;323207375;8108178869;7655613156;530342767;544054886;33618628972;27531815797;480324048;710751554;0;0;596338422;558620685;0;0;1079208737;1186389006;0;0
Em que cidade Sylvester Stallone mora?;101550328;101057817;123477404;122207793;112132924;117135846;313023690;289783869;126321955;136306788;586786718;568415934;179944169;158035532;1058465099;1012997342;215709201;195598439;1428775456;1498376816;264574542;260405281;4181361180;3946074412;288859154;278605442;8143238594;7889103810;316604668;333661089;30423657007;24990660421;357483807;388203652;0;55706461819;362102982;366992041;0;0;408249234;368266199;0;0
Qual a moeda da República Tcheca?;201373637;224379078;237585690;240437455;208379143;230026571;397912509;293321802;239488065;239344859;751554577;439183364;236343395;231616512;1220483835;922071360;255081025;247960299;1725071831;1290225307;294905552;324689463;3639874882;3276167614;323482022;325206008;7608740764;6214358854;333669013;357723198;40739454683;17512771225;377216865;362968115;0;31521888494;420542355;394613240;0;60464832801;398737524;448045363;0;0
Sócrates influenciou Aristóteles?;118950709;122945858;141980845;136469319;136031633;132166425;299960950;248540235;132953462;136896122;496529473;381258986;133398445;130314908;1005933879;579168584;143716562;136806266;1642478932;775254329;150467577;155392620;4676415640;1347836017;163797743;169081984;8780015658;2948442104;177999752;192798979;37420948535;5523292268;188673124;176326408;0;8661807410;231374273;224920489;0;13520911145;223312152;229415039;0;55923071823
Qual o fuso horário de Salt Lake City?;97598645;102359229;121525831;125083165;115772999;110319378;286704512;294926799;126396306;132566979;641778088;623297475;147262893;139358364;1137273063;1250082184;180637664;186441303;1703811808;1799147658;242219832;229646319;3750188465;3729794654;315067544;321400597;8027732132;7969766302;439828116;437930711;31077325576;32510529788;552013696;542682448;0;0;580448915;522782660;0;0;599930660;589546538;0;0
Quem é o filho de Sonny e Cher?;264822406;263180148;265466557;272129940;287633354;296497453;471688587;344198840;282631590;284212412;733849897;437767874;286148282;274678254;1232989724;781662476;288309479;298422324;1781335152;940041164;427792472;388849070;4617815855;1278727582;439941903;489725276;9312816046;1833702823;582492146;569696585;34491605781;5259156447;778604557;750008258;0;10242770842;983457925;1019159979;0;42837263657;1222977007;856265456;0;0
Em que cidade está a sede das Nações Unidas?;284865030;278141190;297255348;289397905;335654414;293548576;430123518;390219163;266962431;279542333;745059545;570829906;288375427;328019794;1156495251;649584497;295057545;319734467;1745624918;783591352;339389879;335246812;4263797415;1521541306;382057480;358323578;9201947290;3643259987;401829767;421801352;30582855027;12890257607;450207482;428178820;0;31842174480;448720888;448954200;0;0;449967913;480236485;0;0
Quem é o fundador da Penquin Books?;192835217;194088468;209560726;224117630;202971753;208040825;371624871;261643434;192239840;200894514;653925965;463963939;192740589;205021050;1134311342;874537316;216386108;218076831;1587400168;1146868433;235716995;221246623;3938907636;2282969839;240859145;225284474;7438135830;3643442001;245603907;261815528;30754069501;10539526104;272373648;290621861;0;33153296994;300733427;303796985;0;0;294409216;290886392;0;0
Quando foi fundada a Jack Wolfskin?;140751200;142324820;145649423;158793540;142950167;136508502;300224808;214801628;164545644;136404690;605442421;411748682;156120688;142010327;1068640298;813396652;147905892;154291437;1571597487;1180504023;172101694;169503475;3954526417;2444857311;178505871;178601652;7810767216;4356618166;172603787;185566519;31479374071;11486806114;205709763;215793653;0;35840096255;236460581;245799380;0;0;213077450;283526349;0;0
Quem é o prefeito de Rotterdam?;201101228;221000533;233446293;234972235;238538200;228246743;369070937;398051064;245421073;230154086;659027545;615636129;245843350;247570732;1051502684;1083761738;263319158;271443828;1233728988;1564876649;311292942;346941627;3801164316;3867972786;393721951;349049457;7176341480;7195692422;512669014;551292826;28222301489;30354773006;549379374;571567211;0;0;603094586;587014668;0;0;627864304;624386798;0;0
Liste todos os oceanógrafos suecos.;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Mostre-me a autobiografia de Hemingway.;117998140;109868581;127089174;125826463;118247252;120573429;303705857;305066980;137175704;136093995;620228984;607538897;153132333;165524579;950239940;1008189654;187053788;184639911;1478445361;1439486690;288716600;250177941;3975354091;2698284282;274794850;266103922;8164230961;4923281108;313461945;323944576;34252313673;13994071211;332742324;352484384;0;31107834320;350120383;379344042;0;58829145684;404952701;460834108;0;0
Quem são os pais da esposa de Juan Carlos I?;212759674;248109021;256254163;262342073;237692780;253749008;401559402;360292507;268965124;264112056;735140566;488886613;261099683;267039390;1099927834;1006069707;293373349;308032949;1859695395;1517697829;338283441;354301023;3792576224;3211949052;454066833;426773537;7819727128;7012537825;439409089;451004826;33547548816;21433678367;471201304;482614445;0;39289865083;460536430;497215533;0;0;506421538;493476798;0;0
Tesla ganhou um Prêmio Nobel de Física?;69988725;76432148;92625043;99257913;84133049;93219999;263482317;263955168;92717256;90325473;554836720;423715229;108383399;109145823;968348672;815849307;92871403;94808776;1392046939;1107112815;104364421;103443477;3668127799;1609600900;122470977;114045439;7524341435;3012228769;126444042;157915327;28727864431;6604819351;199646294;152860398;0;10695097244;126310959;138931979;0;10538502992;136871992;144858642;0;11285453923
Quem é o jogador de basquete mais alto?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual cidade tem menos habitantes?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
A proinsulina é uma proteína?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem foram os pais da Rainha Victoria?;199458295;214678457;244210343;242553849;228049899;229949612;391805258;373034838;242337209;242297843;675621039;661988770;243211924;240198708;1036562803;1021018353;236457432;247167995;1660941151;1263536017;267609615;247736095;3750710925;1922208699;277926618;259931686;8922109030;2819240739;285213072;274427346;35758039879;5437910636;276737042;313797887;0;9592914278;295028739;332092833;0;18924267236;330540093;331676541;0;35089725433
Che Guevara teve filhos?;225248276;201952633;246157543;218738923;228701242;213102165;403852946;371208701;252341476;255172711;689508265;707706954;250600035;264751833;1190380988;1115411376;260121948;286559178;1705031846;1488703629;320300448;327187177;3865275577;3482441344;327352615;344348128;8577971094;6134825753;358371383;367916132;34598938746;12846788956;402260636;373824239;0;29341982806;389855495;380196093;0;41909513325;401839550;411694944;0;0
O lago Baikal é maior do que o lago Great Bear?;88911352;90263132;102503714;118172099;109691128;109981923;326679025;306553730;126305896;133823336;598006328;595160388;152135445;141111805;1107688431;1069880478;180534739;174595269;1847457740;1633967279;202998636;193655449;2704780801;2328510155;201415268;200738021;2399266632;2110586890;185705346;205368465;2525810901;2529657555;205700455;197634832;2672975067;2281786292;181115942;206353320;2621830827;2218556715;192388263;203610766;2548178826;2186787995
Kaurismäki alguma vez venceu o Grand Prix de Cannes?;282178287;258203729;315404134;276925085;265322656;242416736;385737218;360680513;272885829;279523229;798075964;535910469;267597303;284303293;1261733715;1052326422;322140116;312074235;1783977138;1464935036;326382906;306533310;4183532185;3307432662;316262736;396827759;9009444840;5405256424;358205317;376988730;33453289275;11736111524;459983940;438400669;0;25391308422;446653495;447822673;0;37930812551;496527323;540562155;0;0
Liste todos os livros de William Goldman com mais de 300 páginas.;246391609;276523888;260474770;278479793;266531506;249483845;381578828;368109255;267921174;274736546;674076466;678515602;295109783;280095342;1198457226;1047288725;265890971;266759091;1958481144;1298479367;273480779;291369536;4325592834;2372058343;277058063;289181400;8851479201;3649410154;356624081;341095726;38155498873;6662460531;452286188;478308126;0;11239421207;605095199;605775305;0;17662419871;1092573301;1060480487;0;43065575892
Onde está localizado o Fort Knox?;166534052;152875429;172958005;188489874;168083270;179922075;325674881;275189226;166140597;182878577;657793280;407258211;173769484;188838476;1190111455;680747231;176386772;183921010;1736611255;863685868;186966379;198641209;4150150312;1345261899;203446705;223952440;8856387509;1756440941;243960705;233969846;31845840262;3696852105;271420907;271431619;0;5478650035;268869367;263239038;0;7766523641;293851683;332223502;0;0
Em que estado dos EUA fica o Fort Knox?;266594490;252348562;290648943;291643610;310587444;271508266;466109389;318670056;292400297;291245612;790192756;610862795;294181208;335637524;1142920491;582189508;331264737;332751782;1840080747;873062200;344470225;356208827;3522133576;1329631843;366018889;375913716;8123938647;2447108648;493814581;479183060;37593176309;13254029741;663359992;675953025;0;46450378229;875180276;846523977;0;0;1040061654;1077268425;0;0
Onde está enterrado Syngman Rhee?;115462547;119901214;139415231;127213550;125251335;125473386;274567493;308226817;128264003;130427842;575404225;596249733;158727318;159227342;1005734280;981726034;200257567;193081104;1535041767;1498895811;248012629;235675000;4262519936;3966098526;255948074;242657226;8262617703;5993791627;327444059;316342729;29625854858;12895335260;436692597;442025446;0;25745989486;645406779;581836057;0;40481065969;978615709;962990154;0;0
Qual é o fuso horário de São Pedro de Atacama?;202720550;189015875;206696428;216420690;221482106;212144891;378116939;365296811;226197681;208196958;731675110;709373314;248600812;223181168;1436954288;1186970701;238498406;231824363;1918703687;1670042092;244562894;199050444;4728399249;2454075860;265734012;238961273;9288660946;3770250135;281906796;281625140;38399145258;6945766911;349535978;287606191;0;14101763306;363570235;347168816;0;20116393501;482385447;513661607;0;58540495961
A que movimento artístico o pintor do quadro As Três Dançarinas pertencia?;287534060;241088642;297284460;306939927;274294798;286680708;489391268;447774244;272769216;311040331;760716774;693973822;329566827;324938453;1298331329;1369909551;313027765;332264719;1818291635;1627449987;286706524;313330097;4003856463;2404172293;331814730;286137247;9168494977;3678100022;323699793;340733894;31781517090;7866899752;418036940;382309760;0;11680099487;438156648;396157110;0;20744064876;549599241;592447219;0;59069583764
Que cientista é conhecido pelo Projeto Manhattan e pelo Prêmio Nobel da Paz?;165500495;177721669;199628433;193124560;172421726;187634155;339787758;349953905;201983651;184722808;669165673;677648868;210015244;192983623;1127098244;1195019044;229020525;250916290;1701503692;1516235417;290774765;299864077;4079373304;3873968540;334534239;326495782;8124660728;6274144305;390437662;390078767;29712067667;13862942110;495255952;492577976;0;31238813641;671344205;633574937;0;88483313064;1103268022;976849726;0;0
Mostre-me todos os livros de Asimov da série Fundação.;260058599;242320043;249613118;249959976;225176839;273022859;397157252;352478081;251601674;238324257;781817579;380159852;249445103;235452864;1334319287;857041348;220667249;229469477;2127074697;1167198777;253989154;244781737;4862636199;1983464980;285065201;262522871;9155105344;4224812945;314874088;349161512;37469483046;8215872693;445081142;462819046;0;13297717160;567732140;534742644;0;30082696735;725450587;755023352;0;0
Liste todas as cidades em New Jersey com mais de 100000 habitantes.;269528462;275856264;301641397;297415291;285700614;293153853;452332578;371167681;287580274;285974122;783572229;541550246;282394689;304564063;1360229144;1099838653;309398614;303206012;2058250894;1391167097;311391331;288908439;4423733927;2356541171;342681575;336397383;8776667898;3204904444;336101540;327111438;34583705728;7643533606;321343115;327221642;0;12214121581;335346457;388734457;0;19524189977;428055748;467638497;0;56715884695
Que museu de Nova York tem mais visitantes?;248411897;247619000;302056987;263474853;312043761;267820611;429589994;343383878;286320002;324380761;762480439;638809868;304938398;292095077;1195206280;1102517366;326414378;320078476;1734258714;1724628033;398670549;387640094;4193580493;3917093217;438725184;482852124;8490272907;7679479482;613495083;584080430;30277961674;17824988381;781804697;734666253;0;34215233342;850556614;560980974;0;58330900754;1144793773;1064606374;0;0
